ML TD Type,Weighted Average
MCM,0.277537835
MDepend,0.166326586
UMC,0.164633655
HP Conf,0.127762032
Proto,0.12411718
Data Conf,0.123753973
DS Configuration,0.117876888
CDT,0.113053379
UMC ,0.109638578
MCR,0.107423413
MLKnow,0.09890294
Layer Conf,0.094018286
MCC,0.093426317
Weight Conf,0.070185741
MLInter,0.055852075
